comment_id,text,author,likes_count,published_at,updated_at,reply_count,is_reply,parent_id,video_id,source
Ugybyz2r08EQYFon-BR4AaABAg,Program MBG merupakan program strategis apabila dilaksanakan dengan benar. Maka akan berdampak perekonomian yg baik Dan memperbaiki gizi anak Indonesia❤.,@hijrahfm,14,2026-03-22T04:30:12Z,2026-03-22T04:30:12Z,1,False,,S4iey1sr1Cg,youtube
Ugybyz2r08EQYFon-BR4AaABAg.AUdaxWm-qxUAUeBCUPrnVJ,"Benar bang jika di laksanakan dgn baik,
Menyangkut gizi seharusnya berhati hati ttg standart menu,
SOP bahan baku dan pengolahan,

Dan juga para ortu dan guru, kasihlah kpd beliau2 sesuatu forum pengaduan secara terbuka dan berhak mengadu jika terdapat menu2 yg kurang standart atau mencurigakan.
Maka harus Terima juga jika memang ada pengaduan,
Supaya presisi dan sejalan. 

Manajement ini harus di perbaiki, supaya berjalan dgn lancar dan benar",@jokowinarno-hw4do,0,2026-03-22T09:55:41Z,2026-03-22T09:59:27Z,0,True,Ugybyz2r08EQYFon-BR4AaABAg,S4iey1sr1Cg,youtube
UgxUSh65x31XNGYCI8x4AaABAg,"Dengan adanya progam ini bisa membantu anak2 sekolah bisa mendapatkan makanan bergizi dan untuk B3 juga supaya menjegah terjadinya stanting,terima kasih pak presiden untuk kepedulinnya bagi masyarakat indonesia🙏💪🇲🇨🇲🇨🇲🇨❤️",@Liviatulhasanah-dl9fl,5,2026-03-22T14:52:05Z,2026-03-22T14:52:05Z,0,False,,S4iey1sr1Cg,youtube
UgykxbUkrRC2xXWs8jd4AaABAg,"Terimaksih bapak presiden prabowo adanya  Program MBG yang sangat baik  meningkatkan gizi anak sekolah mengurangi stunting , dan juga membuka lapangan pekerjaan Allhamdulillah bisa membantu perekonomian warga sekitar ,terimaksih dan sukses selalu bapak presiden 🙏",@rikiirawan295,0,2026-03-23T04:37:16Z,2026-03-23T04:37:16Z,0,False,,S4iey1sr1Cg,youtube
UgzGqUelfptsTdYgzSB4AaABAg,"Sehat selalu bapak Prabowo, kami mendukung selalu program bapa, banyak anak miskin yg bisa makan makanan bergizi🙏",@Papavier,6,2026-03-22T06:03:17Z,2026-03-22T06:03:17Z,2,False,,S4iey1sr1Cg,youtube
UgzGqUelfptsTdYgzSB4AaABAg.AUdlbJZqGFwAUeA0PFJuNL,Preret,@HanafiBurhan,0,2026-03-22T09:45:18Z,2026-03-22T09:45:18Z,0,True,UgzGqUelfptsTdYgzSB4AaABAg,S4iey1sr1Cg,youtube
UgzGqUelfptsTdYgzSB4AaABAg.AUdlbJZqGFwAUeAYpytEVa,"​@HanafiBurhannah ini contoh orang yg suka kritik pemerintah,  sdm rendah",@Papavier,0,2026-03-22T09:50:00Z,2026-03-22T09:50:00Z,0,True,UgzGqUelfptsTdYgzSB4AaABAg,S4iey1sr1Cg,youtube
Ugx5sfisE4IkzZgtSzp4AaABAg,"Sangat setuju dengan pandangan Program MBG memang telah memberikan dampak positif nyata yang terasa oleh banyak orang, terutama mereka yang kurang mampu. Perputaran ekonomi di daerah meningkat, banyak tenaga kerja terserap, dan produk lokal dari sektor pertanian, peternakan, dan perkebunan juga semakin laku. Anak-anak penerima MBG pun tampak lebih bahagia dan sejahtera.
 
Pandangan negatif seringkali muncul karena kurangnya pemahaman terhadap manfaat program ini bagi masyarakat kecil. Mari kita terus dukung program MBG dan berikan apresiasi kepada pihak-pihak yang telah berjuang mewujudkannya!",@Mirwan.Anrie1,6,2026-03-22T09:12:18Z,2026-03-22T09:12:18Z,3,False,,S4iey1sr1Cg,youtube
Ugx5sfisE4IkzZgtSzp4AaABAg.AUe6Ef5pt2dAUeAkRLFMYf,"Gerakin ekonomi GK begitu caranya, menurut semua pakar ekonomi,.. makro ekonomi nya GK bakal gerak. Terbukti di pasar saham sekarang Sedangkan dimanapun peradaban negara agar bisa maju itu makro ekonomi nya gerak.",@Kanadafarm,0,2026-03-22T09:51:43Z,2026-03-22T09:51:43Z,0,True,Ugx5sfisE4IkzZgtSzp4AaABAg,S4iey1sr1Cg,youtube
Ugx5sfisE4IkzZgtSzp4AaABAg.AUe6Ef5pt2dAUeBD8fLdjG,"Masyallah pak MBG ini di nanti di pelosok Negri setiap mobil MBG datang anak2 sekolah menyambut dengan penuh semngat dan gembira,, ini MBG program yg luar biasa,, maju terus pak presiden,,",@miminsitichannel2528,0,2026-03-22T09:55:47Z,2026-03-22T09:55:47Z,0,True,Ugx5sfisE4IkzZgtSzp4AaABAg,S4iey1sr1Cg,youtube
